Wave direction
0.00000e+00
 Frequency          Fx                Fy
4.30000000e-02 3.88756423e+03 -2.17411540e-04
4.40000000e-02 4.01856356e+03 -2.66175733e-04
4.50000000e-02 4.15663338e+03 -3.21378140e-04
4.60000000e-02 4.29137653e+03 -3.86856346e-04
4.80000000e-02 4.57828747e+03 -5.34481883e-04
4.90000000e-02 4.72687305e+03 -6.44481280e-04
5.10000000e-02 5.01670921e+03 -8.93411734e-04
5.20000000e-02 5.17698299e+03 -1.05173970e-03
5.40000000e-02 5.48511589e+03 -1.45387342e-03
5.60000000e-02 5.80884539e+03 -1.95478790e-03
5.80000000e-02 6.27403477e+03 -2.46473114e-03
6.00000000e-02 6.44369754e+03 -3.55855108e-03
6.20000000e-02 6.78121377e+03 -4.36759641e-03
6.50000000e-02 7.29853952e+03 -6.55323739e-03
6.80000000e-02 7.79541874e+03 -9.33747588e-03
7.00000000e-02 8.07719338e+03 -1.14124195e-02
7.40000000e-02 8.72432808e+03 -1.78643762e-02
7.70000000e-02 9.66577667e+03 -3.31293748e-02
8.10000000e-02 9.94611738e+03 -3.98633244e-02
8.50000000e-02 1.04568713e+04 -5.60655363e-02
9.00000000e-02 1.10775809e+04 -8.62929385e-02
9.50000000e-02 1.15967832e+04 -1.28222305e-01
1.01000000e-01 1.21135793e+04 -1.99766513e-01
1.08000000e-01 1.25397674e+04 -3.18760921e-01
1.15000000e-01 1.28733274e+04 -4.88709183e-01
1.24000000e-01 1.31736254e+04 -7.98431484e-01
1.35000000e-01 1.36087438e+04 -1.35048238e+00
1.47000000e-01 1.44077859e+04 -2.22056729e+00
1.61000000e-01 1.60494288e+04 -3.66523520e+00
1.79000000e-01 1.94741973e+04 -6.29611915e+00
2.00000000e-01 2.55276193e+04 -1.03734419e+01
2.28000000e-01 3.86332994e+04 -1.59290186e+01
2.65000000e-01 6.86974278e+04 -1.69687558e+01
3.15000000e-01 1.19766690e+05 -6.45921586e+00
3.88000000e-01 1.55582659e+05 -5.95243366e+01
5.01000000e-01 1.93869765e+05 -2.60557516e+00
6.97000000e-01 1.16295589e+05 1.35728023e+02
7.54000000e-01 7.26920515e+04 -3.32048492e+01
8.19000000e-01 -7.97850771e+02 5.30438811e+01
8.95000000e-01 -5.17163400e+04 -1.09215401e+02
9.38000000e-01 -7.71314987e+04 6.07360045e+01
9.85000000e-01 -8.50662124e+04 -2.67319196e+01
1.03700000e+00 -9.77725445e+04 8.94792565e+01
1.09500000e+00 -9.06151545e+04 -5.55630039e+01
1.16000000e+00 -6.79102834e+04 -5.35334416e+01
1.23500000e+00 -1.64721842e+04 -6.21110226e+01
1.27800000e+00 -6.18299242e+03 3.19775956e+01
1.32400000e+00 1.22717822e+04 9.99675732e-01
1.37500000e+00 4.03751920e+04 -3.99937057e+00
1.43200000e+00 6.51404414e+04 -1.46388245e+01
1.49600000e+00 1.01537374e+05 -4.80747808e+01
1.57000000e+00 9.94229706e+04 6.62193681e+01
1.65500000e+00 6.03424758e+04 2.39135477e+01
1.75500000e+00 3.15779367e+04 1.87059802e+02
1.87700000e+00 -2.68106472e+04 -1.06471375e+02
2.02700000e+00 3.66680479e+04 -6.02490393e+01
2.22100000e+00 1.26482407e+05 3.89420370e+01
2.48300000e+00 8.48276293e+04 1.07778696e+02
2.86700000e+00 2.08441672e+05 2.36076238e+01
3.51100000e+00 1.86557600e+05 -4.96298091e-01
Wave direction
5.23599e-01
 Frequency          Fx                Fy
4.30000000e-02 3.44028702e+03 1.97372430e+03
4.40000000e-02 3.58932795e+03 2.05749399e+03
4.50000000e-02 3.74523742e+03 2.14498502e+03
4.60000000e-02 3.90184463e+03 2.23256179e+03
4.80000000e-02 4.23741189e+03 2.41965783e+03
4.90000000e-02 4.41666212e+03 2.51916174e+03
5.10000000e-02 4.77601345e+03 2.71746996e+03
5.20000000e-02 4.97661339e+03 2.82792782e+03
5.40000000e-02 5.37884030e+03 3.04775081e+03
5.60000000e-02 5.80649709e+03 3.28007912e+03
5.80000000e-02 6.39042186e+03 3.59961592e+03
6.00000000e-02 6.74070134e+03 3.78016338e+03
6.20000000e-02 7.19809463e+03 4.02259999e+03
