Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
4.30000000e-02 1.71461063e+01 7.33235511e-14 9.52273598e-01 7.70438618e-17 3.27772513e-03 1.82383420e-16
4.40000000e-02 1.67269897e+01 4.93531583e-14 9.50279674e-01 4.72331281e-17 3.34899391e-03 3.52308962e-16
4.50000000e-02 1.63259880e+01 6.70892133e-14 9.48247657e-01 7.79979264e-17 3.41977517e-03 3.56729739e-16
4.60000000e-02 1.59416924e+01 4.18860843e-14 9.46254347e-01 3.93617708e-17 3.49018724e-03 2.25536151e-16
4.80000000e-02 1.52202173e+01 1.40415251e-13 9.42354132e-01 1.81421072e-16 3.63018636e-03 4.76322965e-16
4.90000000e-02 1.48799699e+01 1.02483986e-13 9.40240559e-01 1.32504921e-16 3.69908897e-03 2.14986023e-16
5.10000000e-02 1.42378229e+01 1.14918404e-13 9.36154705e-01 1.48844149e-16 3.83585024e-03 1.37763943e-16
5.20000000e-02 1.39348176e+01 4.02755904e-14 9.34019090e-01 5.08907035e-17 3.90386838e-03 6.98463310e-17
5.40000000e-02 1.33593487e+01 3.95921933e-14 9.29634216e-01 4.47609285e-17 4.03773358e-03 4.41516289e-17
5.60000000e-02 1.28232956e+01 9.98800327e-14 9.25097014e-01 1.76810283e-16 4.17031171e-03 1.72341659e-16
5.80000000e-02 1.23163163e+01 1.25575169e-13 9.17830905e-01 1.97537156e-16 4.29520295e-03 7.07885510e-16
6.00000000e-02 1.18553478e+01 1.72616834e-13 9.16831526e-01 3.60857385e-16 4.43362207e-03 7.22702063e-16
6.20000000e-02 1.14117923e+01 6.79416440e-14 9.11522200e-01 1.48750643e-16 4.55782559e-03 1.05477467e-16
6.50000000e-02 1.07950665e+01 1.54389101e-13 9.03709057e-01 3.90027126e-16 4.74353866e-03 5.88242983e-16
6.80000000e-02 1.02306994e+01 3.60034933e-14 8.96137398e-01 1.04836622e-16 4.92610700e-03 9.22991265e-17
7.00000000e-02 9.88265331e+00 4.65533125e-14 8.92273840e-01 1.53113536e-16 5.04688882e-03 4.11108653e-16
7.40000000e-02 9.23493504e+00 1.69020113e-13 8.83375282e-01 4.86117200e-16 5.27915474e-03 4.23368648e-16
7.70000000e-02 8.73954436e+00 2.37236824e-13 8.55811993e-01 7.39637345e-16 5.43104900e-03 1.63846110e-16
8.10000000e-02 8.21752634e+00 9.66502132e-15 8.53636450e-01 4.75243186e-17 5.66025484e-03 9.44155667e-17
8.50000000e-02 7.71859738e+00 5.40234780e-14 8.42186490e-01 1.88238683e-16 5.87219229e-03 1.76341114e-16
9.00000000e-02 7.14620572e+00 6.86347694e-14 8.24927607e-01 2.79639329e-16 6.12239712e-03 4.68899020e-16
9.50000000e-02 6.62924320e+00 6.86018437e-14 8.06706761e-01 2.05167231e-16 6.36097026e-03 7.66838108e-16
1.01000000e-01 6.06864961e+00 5.77606177e-14 7.82809579e-01 1.67294622e-16 6.62973478e-03 5.03610538e-16
1.08000000e-01 5.48724825e+00 4.84148637e-14 7.53117989e-01 1.24923568e-16 6.92169934e-03 4.52144029e-16
1.15000000e-01 4.96859044e+00 1.88000277e-13 7.20213741e-01 6.14393866e-16 7.18832023e-03 1.94131919e-15
1.24000000e-01 4.38101871e+00 4.31174957e-14 6.74873821e-01 2.19426730e-16 7.49556044e-03 4.17235705e-16
1.35000000e-01 3.76034086e+00 4.47807738e-14 6.14086183e-01 2.61747576e-16 7.81330082e-03 5.28091930e-16
1.47000000e-01 3.18098236e+00 4.60381863e-14 5.42780112e-01 3.88985075e-16 8.07942899e-03 7.47633859e-16
1.61000000e-01 2.60515929e+00 1.56631631e-14 4.55472900e-01 1.38896326e-16 8.26517639e-03 2.24451178e-16
1.79000000e-01 1.98520252e+00 1.24325518e-14 3.42189572e-01 2.30170627e-16 8.26329601e-03 3.83700411e-16
2.00000000e-01 1.39269605e+00 1.76225559e-14 2.16586851e-01 2.89659762e-16 7.86055798e-03 3.06786603e-16
2.28000000e-01 7.84805331e-01 3.49866242e-15 7.38871281e-02 5.59926066e-16 6.65619032e-03 4.37963623e-17
2.65000000e-01 2.77635796e-01 3.79949983e-15 9.46246235e-02 4.82205970e-16 4.37254839e-03 1.12572971e-16
3.15000000e-01 1.21698314e-01 9.84510366e-15 2.04226341e-01 2.84907580e-15 1.85021852e-03 1.09170477e-16
3.88000000e-01 1.37374743e-01 4.82117709e-15 1.53804618e-01 1.84433458e-16 2.88023165e-03 1.75744019e-16
5.01000000e-01 2.84059559e-02 1.06596034e-14 7.23282081e-02 2.77170590e-16 1.86459523e-03 1.08533801e-16
6.97000000e-01 4.23253903e-03 1.36758883e-15 2.17165348e-02 8.75597680e-17 8.46233700e-04 2.15745362e-17
